,Sequence,o1,o2,o3,o4,o5,o6,o7
240,a large green chair is facing forwards,0,0,0,0,0,1,0
241,"a large, grey chair facing left",0,0,0,0,0,0,1
242,"a small, green desk facing forwards is in the room",1,0,0,0,0,0,0
243,"a small, green desk in the room",1,1,0,0,0,0,0
244,a large,0,0,0,0,0,0,0
245,a grey chair facing left,0,0,0,0,0,0,1
246,"a small, green chair""",0,0,0,0,1,0,0
247,"a small, green desk on the right",0,1,0,0,0,0,0
248,"a large desk, facing forwards, green",0,0,1,0,0,0,0
249,"a small, green desk in front",1,0,0,0,0,0,0
250,"a small, grey desk facing forwards",0,0,0,0,0,0,0
251,a large grey chair ,0,0,0,0,0,0,1
252,a large green chair  facing forwards,0,0,0,0,0,1,0
253,a green chair facing forwards,0,0,0,0,0,1,0
254,"a small, green desk facing the right",0,1,0,0,0,0,0
255,"a large, green desk in front of you",0,0,1,0,0,0,0
256,a green desk facing forward,1,0,1,0,0,0,0
257,"a small, green desk facing forwards in the room",1,0,0,0,0,0,0
258,"a large, green chair in the room",0,0,0,0,0,1,0
259,a large chair facing forwards,0,0,0,0,0,1,0
260,"a green, large chair facing forwards",0,0,0,0,0,1,0
261,a little green chair facing right,0,0,0,0,1,0,0
262,"a small, green desk faced to the right",0,1,0,0,0,0,0
263,"a large, grey desk is facing to the left",0,0,0,1,0,0,0
264,"a large, grey chair facing to the right",0,0,0,0,0,0,0
265,"a green chair, facing forwards",0,0,0,0,0,1,0
266,"a large, green chair  facing forwards",0,0,0,0,0,1,0
267,"a large, green chair facing to the left",0,0,0,0,0,0,0
268,a grey chair facing to the right,0,0,0,0,0,0,0
269,"a large, grey chair faces to the left",0,0,0,0,0,0,1
270,"a large, green chair facing to the right",0,0,0,0,0,0,0
271,"a large, green desk",0,0,1,0,0,0,0
272,"a small, green thing facing to the right",0,1,0,0,1,0,0
273,"a large, green desk face forwards",0,0,1,0,0,0,0
274,"a small, grey chair facing to the right",0,0,0,0,0,0,0
275,"a large, green chair that faces forwards",0,0,0,0,0,1,0
276,a small green desk facing to the right,0,1,0,0,0,0,0
277,"a small, grey thing facing to the right",0,0,0,0,0,0,0
278,"a  large, grey desk",0,0,0,1,0,0,0
279,"a  large, green chair facing forwards",0,0,0,0,0,1,0
280,a large green chair,0,0,0,0,0,1,0
281,"a large, grey chair faced to the left",0,0,0,0,0,0,1
282,a green chair facing to the left,0,0,0,0,0,0,0
283,"a small, green desk facing right",0,1,0,0,0,0,0
284,"a  small, green chair facing to the right",0,0,0,0,1,0,0
285,"a large, green desk, facing forwards",0,0,1,0,0,0,0
286,"a small, green desk facing forwards, ",1,0,0,0,0,0,0
287,a desk facing to the left,0,0,0,1,0,0,0
288,a green desk,1,1,1,0,0,0,0
289,a grey thing facing to the left,0,0,0,1,0,0,1
290,a large grey desk facing to the left,0,0,0,1,0,0,0
291,a green desk facing forwards,1,0,1,0,0,0,0
292,a chair facing to the left,0,0,0,0,0,0,1
293,a large grey desk,0,0,0,1,0,0,0
294,"a large, grey chair to the left",0,0,0,0,0,0,1
295,"a large, grey chair  facing to the left",0,0,0,0,0,0,1
296,"a large, grey chair to the left of the room",0,0,0,0,0,0,1
297,"a small, green chair, facing right",0,0,0,0,1,0,0
298,a large green chair facing to the right,0,0,0,0,0,0,0
299,"a small, green desk is facing forwards",1,0,0,0,0,0,0
300,a large green chair facing forward,0,0,0,0,0,1,0
301,a grey desk,0,0,0,1,0,0,0
302,a grey table,0,0,0,1,0,0,0
303,a little green table,1,1,0,0,0,0,0
304,"a large, green desk is facing forwards",0,0,1,0,0,0,0
305,a small thing facing forwards,1,0,0,0,0,0,0
